timestep;mesh  1  face  centerpoint;mesh  1  color  code;mesh  1  normal;Mesh  1  face  centerpoint  to  Mesh  1  face  n+1  centerpoint  distance;Mesh  1  face  centerpoint  vector  to  Mesh  1  face  n+1  centerpoint  vector  angle
156;(545,  129.75,  25);(5,189,196);(0.45,  0.89,  0);0.5;0.01
156;(381,  190.75,  25);(14,152,206);(0.41,  -0.8,  0.43);161.22;0.92
156;(238,  117.5,  25);(11,160,211);(-0.55,  0.55,  -0.63);160.67;2.05
156;(226,  118.75,  25);(38,75,163);(-0.06,  -1,  0);12.06;1.45
156;(213,  120.33,  33.33);(38,76,163);(-0.55,  -0.83,  0.05);15.52;2.77
156;(290.25,  133.25,  25);(126,203,16);(-0.71,  0.71,  0);64.52;4.33
156;(345.25,  134,  25);(17,178,95);(0,  1,  -0.04);55.01;3.49
156;(400,  135.25,  25);(3,190,210);(-0.93,  0.37,  0);54.76;2.57
156;(400.5,  137,  25);(6,188,192);(-1,  0,  0);1.82;0.2
156;(353.25,  138.5,  25);(123,202,15);(-0.02,  -1,  0);47.27;2.55
156;(263.25,  139.75,  25);(126,203,16);(-0.01,  -1,  0.08);90.01;6.61
156;(220.5,  141.75,  25);(6,188,192);(-0.98,  0,  -0.21);42.8;4.8
156;(218,  142.75,  25);(12,183,136);(0.29,  -0.95,  0.1);2.69;0.48
156;(217.75,  145,  25);(18,178,92);(-0.8,  0.6,  0.1);2.26;0.44
156;(221.5,  147.67,  25);(123,202,15);(0.22,  0.97,  -0.05);4.6;0.1
156;(292,  147.5,  25);(12,183,136);(0,  1,  -0.05);70.5;6.94
156;(316.5,  123.5,  25);(31,96,175);(0.89,  0.45,  0);2.02;0.33
156;(549.25,  134.25,  25);(22,127,192);(-0.82,  -0.57,  0);2.15;0.16
156;(547.5,  138.5,  25);(16,145,203);(-0.89,  0.45,  0);4.6;0.46
156;(548.25,  145.5,  25);(18,178,90);(-1,  0.04,  0);7.04;0.67
156;(548.25,  151.75,  25);(17,179,95);(-0.66,  -0.66,  0.35);6.25;0.61
156;(265.5,  142,  25);(38,181,63);(-0.03,  -0.89,  0.46);28.53;2.57
