Year,mesh 1 face centerpoint,mesh 1 color code,mesh 1 normal,Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance,Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
2014,"(5.33, 1.81, 1.94)","(243,57,0)","(-0.02, 0.75, -0.66)",6.35,1.88
2014,"(8.34, 3.44, 3.73)","(243,57,0)","(0.02, -0.75, 0.66)",3.86,4.86
2014,"(13.16, 5.14, 5.55)","(243,57,0)","(0.01, -0.75, 0.66)",5.43,1.43
2014,"(13.85, 4.91, 5.28)","(243,57,0)","(0.02, -0.75, 0.66)",0.78,2.39
2014,"(13.45, 4.51, 4.83)","(243,57,0)","(-0.01, 0.75, -0.66)",0.72,1.34
2014,"(3.87, 0.88, 0.91)","(243,57,0)","(0.02, -0.75, 0.66)",1.65,2.55
2014,"(5.6, 1.18, 1.22)","(243,57,0)","(0.03, -0.79, 0.61)",1.78,1.25
2014,"(8.22, 2.1, 2.2)","(243,57,0)","(-0.01, 0.75, -0.66)",0.45,0.9
2014,"(7.18, 1.59, 1.65)","(243,57,0)","(-0.01, 0.75, -0.67)",1.28,2.61
2014,"(8.84, 2.25, 2.37)","(243,57,0)","(0.02, -0.75, 0.66)",1.93,2.59
