Minor_dist,Minor_link,Minor_points
26.04,5,({309, 277, 0}{310.5, 251, 0})
44.05,18,({309, 277, 0}{265, 275, 0})
0,14,({287, 279.5, 0}{287, 279.5, 0})
22.14,12,({287, 279.5, 0}{309, 277, 0})
22.14,11,({287, 279.5, 0}{309, 277, 0})
22.46,18,({287, 279.5, 0}{265, 275, 0})
36.94,5,({287, 279.5, 0}{310.5, 251, 0})
0,13,({287, 279.5, 0}{287, 279.5, 0})
22.14,12,({287, 279.5, 0}{309, 277, 0})
22.14,11,({287, 279.5, 0}{309, 277, 0})
22.46,18,({287, 279.5, 0}{265, 275, 0})
36.94,5,({287, 279.5, 0}{310.5, 251, 0})
0,16,({213.5, 204.5, 0}{213.5, 204.5, 0})
23.2,7,({213.5, 204.5, 0}{227.5, 186, 0})
40.13,2,({213.5, 204.5, 0}{248, 184, 0})
40.22,3,({213.5, 204.5, 0}{246.5, 181.5, 0})
59.81,8,({213.5, 204.5, 0}{237, 149.5, 0})
0,15,({213.5, 204.5, 0}{213.5, 204.5, 0})
23.2,7,({213.5, 204.5, 0}{227.5, 186, 0})
40.13,2,({213.5, 204.5, 0}{248, 184, 0})
40.22,3,({213.5, 204.5, 0}{246.5, 181.5, 0})
59.81,8,({213.5, 204.5, 0}{237, 149.5, 0})
27.04,18,({242.5, 260, 0}{265, 275, 0})
