Major_dist,Major_link,Major_points
19.47,40,({248.5, 256, 0}{234, 243, 0})
6.58,40,({233, 249.5, 0}{234, 243, 0})
11.07,28,({233, 249.5, 0}{236.5, 239, 0})
11.07,27,({233, 249.5, 0}{236.5, 239, 0})
15.62,50,({233, 249.5, 0}{243, 261.5, 0})
16.76,35,({233, 249.5, 0}{228, 233.5, 0})
9.49,38,({273.5, 269.5, 0}{276.5, 260.5, 0})
9.49,37,({273.5, 269.5, 0}{276.5, 260.5, 0})
14.5,26,({273.5, 269.5, 0}{273.5, 255, 0})
27.97,42,({273.5, 269.5, 0}{249, 256, 0})
28.15,39,({273.5, 269.5, 0}{250, 254, 0})
3.64,49,({207.5, 215, 0}{206.5, 211.5, 0})
14.56,30,({207.5, 215, 0}{221.5, 219, 0})
20.52,41,({207.5, 215, 0}{222.5, 229, 0})
21.87,52,({207.5, 215, 0}{203.5, 193.5, 0})
27.61,35,({207.5, 215, 0}{228, 233.5, 0})
8.25,43,({206.5, 183, 0}{214.5, 181, 0})
10.92,52,({206.5, 183, 0}{203.5, 193.5, 0})
17.49,31,({206.5, 183, 0}{221.5, 174, 0})
18.61,29,({206.5, 183, 0}{222.5, 173.5, 0})
19.6,34,({206.5, 183, 0}{222, 171, 0})
3.64,47,({206.5, 211.5, 0}{207.5, 215, 0})
16.77,30,({206.5, 211.5, 0}{221.5, 219, 0})
18.25,52,({206.5, 211.5, 0}{203.5, 193.5, 0})
23.71,41,({206.5, 211.5, 0}{222.5, 229, 0})
28.5,48,({206.5, 211.5, 0}{206.5, 183, 0})
7.78,44,({243, 261.5, 0}{248.5, 256, 0})
8.14,42,({243, 261.5, 0}{249, 256, 0})
10.26,39,({243, 261.5, 0}{250, 254, 0})
15.62,45,({243, 261.5, 0}{233, 249.5, 0})
20.57,40,({243, 261.5, 0}{234, 243, 0})
14.32,33,({324, 137, 0}{321, 151, 0})
23.58,18,({324, 137, 0}{311.5, 157, 0})
24.84,17,({324, 137, 0}{308, 156, 0})
37.8,12,({324, 137, 0}{301, 167, 0})
37.8,11,({324, 137, 0}{301, 167, 0})
10.92,48,({203.5, 193.5, 0}{206.5, 183, 0})
16.65,43,({203.5, 193.5, 0}{214.5, 181, 0})
18.25,49,({203.5, 193.5, 0}{206.5, 211.5, 0})
21.87,47,({203.5, 193.5, 0}{207.5, 215, 0})
23.16,19,({203.5, 193.5, 0}{226, 188, 0})
6.18,2,({222.5, 219, 0}{221, 225, 0})
10,3,({222.5, 219, 0}{222.5, 229, 0})
15.4,1,({222.5, 219, 0}{207.5, 215.5, 0})
24.41,10,({222.5, 219, 0}{236.5, 239, 0})
24.41,9,({222.5, 219, 0}{236.5, 239, 0})
15.4,0,({207.5, 215.5, 0}{222.5, 219, 0})
16.51,2,({207.5, 215.5, 0}{221, 225, 0})
18.03,7,({207.5, 215.5, 0}{195, 228.5, 0})
20.18,3,({207.5, 215.5, 0}{222.5, 229, 0})
21.78,12,({207.5, 215.5, 0}{196, 234, 0})
4.27,3,({221, 225, 0}{222.5, 229, 0})
6.18,0,({221, 225, 0}{222.5, 219, 0})
16.51,1,({221, 225, 0}{207.5, 215.5, 0})
19.47,8,({221, 225, 0}{208, 239.5, 0})
20.86,11,({221, 225, 0}{206, 239.5, 0})
4.27,2,({222.5, 229, 0}{221, 225, 0})
10,0,({222.5, 229, 0}{222.5, 219, 0})
17.2,10,({222.5, 229, 0}{236.5, 239, 0})
17.2,9,({222.5, 229, 0}{236.5, 239, 0})
17.9,8,({222.5, 229, 0}{208, 239.5, 0})
0,5,({226, 188, 0}{226, 188, 0})
31.2,0,({226, 188, 0}{222.5, 219, 0})
33.14,1,({226, 188, 0}{207.5, 215.5, 0})
35.47,14,({226, 188, 0}{259, 201, 0})
35.67,17,({226, 188, 0}{261.5, 184.5, 0})
0,4,({226, 188, 0}{226, 188, 0})
31.2,0,({226, 188, 0}{222.5, 219, 0})
33.14,1,({226, 188, 0}{207.5, 215.5, 0})
35.47,14,({226, 188, 0}{259, 201, 0})
35.67,17,({226, 188, 0}{261.5, 184.5, 0})
19.04,14,({251.5, 218.5, 0}{259, 201, 0})
23.58,22,({251.5, 218.5, 0}{260, 240.5, 0})
25.4,10,({251.5, 218.5, 0}{236.5, 239, 0})
25.4,9,({251.5, 218.5, 0}{236.5, 239, 0})
26.41,23,({251.5, 218.5, 0}{260, 243.5, 0})
5.59,12,({195, 228.5, 0}{196, 234, 0})
15.56,11,({195, 228.5, 0}{206, 239.5, 0})
17.03,8,({195, 228.5, 0}{208, 239.5, 0})
18.03,1,({195, 228.5, 0}{207.5, 215.5, 0})
