density points - x,y,z
{-29.444768, -90.204779, 4.921843}
{-20.719747, -90.877883, 4.917713}
{-11.894346, -91.067242, 4.914261}
{-1.68774, -89.185274, 4.904193}
{10.094495, -87.606976, 5.048562}
{21.713649, -87.727461, 5.140975}
{32.011569, -88.202756, 5.071031}
{41.364886, -88.870671, 5.051854}
{50.546025, -89.510391, 5.044757}
{59.690049, -90.080703, 5.042417}
{68.835482, -90.576962, 5.043118}
{78.000111, -91.004772, 5.04626}
{91.293464, -91.293902, 5.151216}
{-92.84929, -90.602287, 4.965501}
{-81.473959, -89.833701, 4.927358}
{-72.837231, -88.784513, 4.937428}
{-64.229611, -87.838651, 4.948428}
{-55.499472, -87.632486, 4.953886}
{-46.65356, -88.343805, 4.943063}
{-37.966669, -89.410722, 4.931225}
{-29.338766, -90.372928, 4.923515}
{-20.710405, -91.121651, 4.920457}
{-12.014012, -91.590337, 4.917253}
{-3.141078, -91.46418, 4.906885}
{7.182681, -89.40501, 4.915468}
{19.016398, -88.193072, 5.039152}
{30.712089, -88.576949, 5.107129}
{41.062392, -89.008978, 5.052847}
{50.480456, -89.588574, 5.037118}
{59.69815, -90.137511, 5.032518}
{68.874403, -90.622845, 5.032268}
{78.057035, -91.043533, 5.034463}
{91.32652, -91.328949, 5.112931}
{-92.357538, -91.198797, 4.944684}
{-80.540563, -90.546593, 4.869369}
{-72.042862, -89.546289, 4.880157}
{-63.472782, -88.482069, 4.896175}
{-54.612803, -87.922711, 4.910338}
{-45.972732, -88.34469, 4.894521}
{-37.648117, -89.367993, 4.881424}
{-29.18757, -90.395436, 4.870237}
{-20.70807, -91.210886, 4.865595}
{-12.166573, -91.788059, 4.867781}
{-3.506825, -92.081674, 4.878733}
{5.377244, -91.833357, 4.875561}
{15.676643, -89.798823, 4.952972}
{27.464188, -88.71579, 5.107816}
{39.291445, -89.181873, 5.148046}
{49.899894, -89.567899, 5.085107}
{59.441754, -90.074897, 5.062852}
{68.71367, -90.556297, 5.056327}
{77.920349, -90.981932, 5.056974}
{91.258113, -91.271608, 5.179373}
{-91.861507, -91.861507, 4.959657}
{-79.55501, -91.360505, 4.903348}
{-71.15617, -90.485579, 4.907113}
{-62.733104, -89.387989, 4.915689}
{-54.238703, -88.45106, 4.925417}
{-45.761297, -88.45106, 4.925417}
{-37.266896, -89.387989, 4.915689}
{-28.84383, -90.485579, 4.907113}
{-20.44499, -91.360505, 4.903348}
{-11.992246, -91.998545, 4.903798}
{-3.423558, -92.431617, 4.907498}
{5.30539, -92.640965, 4.913315}
{14.253035, -92.430967, 4.909985}
{24.342725, -90.639963, 4.915281}
{35.931608, -89.585166, 4.987374}
{47.795753, -89.998678, 5.071034}
{58.750668, -90.285503, 5.075043}
{68.521535, -90.680834, 5.047601}
{77.921384, -91.071091, 5.039086}
{91.290087, -91.347453, 5.106878}
{-91.198797, -92.357538, 4.944684}
{-78.256648, -91.991886, 4.829362}
{-70.000423, -91.260403, 4.829787}
{-61.815015, -90.249078, 4.838468}
{-53.815349, -89.07088, 4.852736}
{-45.430741, -88.522348, 4.871888}
{-36.769282, -89.155447, 4.855838}
{-28.445908, -90.34707, 4.838786}
{-20.195376, -91.335024, 4.830069}
{-11.910767, -92.043565, 4.830029}
{-3.508572, -92.535401, 4.837007}
{5.058332, -92.856329, 4.848896}
{13.81291, -93.009722, 4.861619}
{22.774495, -92.887967, 4.889503}
{32.639057, -91.571965, 4.911962}
