timestep, mesh 1 face centerpoint, mesh 1 color code, mesh 1 normal, Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance, Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
52,(58.75, -59.25, 17.5),(243,57,0),(0.12, 0.26, 0.96),0,0,
52,(58.75, -59.25, 17.5),(240,42,30),(0.12, 0.26, 0.96),0,0,
52,(58.75, -59.25, 17.5),(242,54,7),(0.12, 0.26, 0.96),0,0,
53,(58.5, 60, 17.75),(243,57,0),(-0.43, 0.3, 0.85),0,0,
53,(58.5, 60, 17.75),(240,42,30),(-0.43, 0.3, 0.85),0,0,
53,(58.5, 60, 17.75),(242,54,7),(-0.43, 0.3, 0.85),0,0,
54,(-63.75, 61.75, 18),(243,57,0),(-0.34, -0.21, -0.92),0,0,
54,(-63.75, 61.75, 18),(240,43,28),(-0.34, -0.21, -0.92),0,0,
54,(-63.75, 61.75, 18),(242,54,6),(-0.34, -0.21, -0.92),0,0,
55,(-64.5, -64.5, 18.25),(243,57,0),(0.16, -0.29, -0.94),0,0,
55,(-64.5, -64.5, 18.25),(240,44,27),(0.16, -0.29, -0.94),0,0,
55,(-64.5, -64.5, 18.25),(242,54,6),(0.16, -0.29, -0.94),0,0,
56,(64.75, -65.25, 18.5),(243,57,0),(0.12, 0.26, 0.96),0,0,
56,(64.75, -65.25, 18.5),(240,44,26),(0.12, 0.26, 0.96),0,0,
56,(64.75, -65.25, 18.5),(242,54,5),(0.12, 0.26, 0.96),0,0,
57,(65.5, 67, 18.75),(243,57,0),(-0.43, 0.3, 0.85),0,0,
57,(65.5, 67, 18.75),(240,45,25),(-0.43, 0.3, 0.85),0,0,
57,(65.5, 67, 18.75),(242,54,5),(-0.43, 0.3, 0.85),0,0,
58,(-68.75, 66.75, 19),(243,57,0),(-0.34, -0.21, -0.91),0,0,
58,(-68.75, 66.75, 19),(240,45,25),(-0.34, -0.21, -0.91),0,0,
58,(-68.75, 66.75, 19),(242,54,5),(-0.34, -0.21, -0.91),0,0,
59,(-69.5, -69.5, 19.25),(243,57,0),(0.16, -0.29, -0.94),0,0,
59,(-69.5, -69.5, 19.25),(240,45,24),(0.16, -0.29, -0.94),0,0,
59,(-69.5, -69.5, 19.25),(242,55,5),(0.16, -0.29, -0.94),0,0,
60,(69.25, -69.75, 19.5),(243,57,0),(0.11, 0.26, 0.96),0,0,
60,(69.25, -69.75, 19.5),(240,46,23),(0.11, 0.26, 0.96),0,0,
60,(69.25, -69.75, 19.5),(242,55,5),(0.11, 0.26, 0.96),0,0,
61,(69, 70.5, 19.75),(243,57,0),(-0.43, 0.3, 0.85),0,0,
61,(69, 70.5, 19.75),(240,46,23),(-0.43, 0.3, 0.85),0,0,
61,(69, 70.5, 19.75),(242,55,5),(-0.43, 0.3, 0.85),0,0,
62,(-74.25, 72.25, 20),(243,57,0),(-0.35, -0.21, -0.91),0,0,
62,(-74.25, 72.25, 20),(240,46,22),(-0.35, -0.21, -0.91),0,0,
62,(-74.25, 72.25, 20),(242,55,5),(-0.35, -0.21, -0.91),0,0,
63,(-77, -77, 20.25),(243,57,0),(0.16, -0.29, -0.94),0,0,
63,(-77, -77, 20.25),(241,47,20),(0.16, -0.29, -0.94),0,0,
63,(-77, -77, 20.25),(243,55,4),(0.16, -0.29, -0.94),0,0,
64,(76.75, -77.25, 20.5),(243,57,0),(0.11, 0.26, 0.96),0,0,
64,(76.75, -77.25, 20.5),(241,47,19),(0.11, 0.26, 0.96),0,0,
64,(76.75, -77.25, 20.5),(243,55,4),(0.11, 0.26, 0.96),0,0,
65,(76.5, 78, 20.75),(243,57,0),(-0.43, 0.3, 0.85),0,0,
65,(76.5, 78, 20.75),(241,47,19),(-0.43, 0.3, 0.85),0,0,
65,(76.5, 78, 20.75),(243,55,4),(-0.43, 0.3, 0.85),0,0,
66,(-80.25, 78.25, 21),(243,57,0),(-0.35, -0.21, -0.91),0,0,
66,(-80.25, 78.25, 21),(241,48,19),(-0.35, -0.21, -0.91),0,0,
66,(-80.25, 78.25, 21),(243,55,4),(-0.35, -0.21, -0.91),0,0,
67,(-83, -83, 21.25),(243,57,0),(0.16, -0.29, -0.94),0,0,
67,(-83, -83, 21.25),(241,48,17),(0.16, -0.29, -0.94),0,0,
67,(-83, -83, 21.25),(243,55,4),(0.16, -0.29, -0.94),0,0,
68,(83.25, -83.75, 21.5),(243,57,0),(0.11, 0.26, 0.96),0,0,
68,(83.25, -83.75, 21.5),(241,49,17),(0.11, 0.26, 0.96),0,0,
68,(83.25, -83.75, 21.5),(243,55,3),(0.11, 0.26, 0.96),0,0,
69,(85, 86.5, 21.75),(243,57,0),(-0.43, 0.3, 0.85),0,0,
69,(85, 86.5, 21.75),(241,49,16),(-0.43, 0.3, 0.85),0,0,
69,(85, 86.5, 21.75),(243,55,3),(-0.43, 0.3, 0.85),0,0,
70,(-88.25, 86.25, 22),(243,57,0),(-0.35, -0.21, -0.91),0,0,
70,(-88.25, 86.25, 22),(241,49,16),(-0.35, -0.21, -0.91),0,0,
70,(-88.25, 86.25, 22),(243,55,3),(-0.35, -0.21, -0.91),0,0,
71,(-88.5, -88.5, 22.25),(243,57,0),(0.15, -0.29, -0.94),0,0,
71,(-88.5, -88.5, 22.25),(241,49,15),(0.15, -0.29, -0.94),0,0,
71,(-88.5, -88.5, 22.25),(243,55,3),(0.15, -0.29, -0.94),0,0,
72,(88.75, -89.25, 22.5),(243,57,0),(0.11, 0.26, 0.96),0,0,
72,(88.75, -89.25, 22.5),(241,50,15),(0.11, 0.26, 0.96),0,0,
72,(88.75, -89.25, 22.5),(243,56,3),(0.11, 0.26, 0.96),0,0,
73,(90, 91.5, 22.75),(243,57,0),(-0.43, 0.3, 0.85),0,0,
73,(90, 91.5, 22.75),(241,50,14),(-0.43, 0.3, 0.85),0,0,
73,(90, 91.5, 22.75),(243,56,3),(-0.43, 0.3, 0.85),0,0,
74,(-94.25, 92.25, 23),(243,57,0),(-0.35, -0.21, -0.91),0,0,
74,(-94.25, 92.25, 23),(241,50,14),(-0.35, -0.21, -0.91),0,0,
74,(-94.25, 92.25, 23),(243,56,3),(-0.35, -0.21, -0.91),0,0,
75,(-95, -95, 23.25),(243,57,0),(0.15, -0.29, -0.94),0,0,
75,(-95, -95, 23.25),(241,50,14),(0.15, -0.29, -0.94),0,0,
